ALPHA_THRESHOLD = 16
GROUND_CROP_EXTRA_BOTTOM = 0

逐文件处理结果：
nap_in_0000.png | ground_y=234 | move_dy=2
nap_in_0000_bottom_debug.png | ground_y=236 | move_dy=0
nap_in_0001.png | ground_y=234 | move_dy=2
nap_in_0002.png | ground_y=234 | move_dy=2
nap_in_0003.png | ground_y=234 | move_dy=2
nap_in_0004.png | ground_y=234 | move_dy=2
nap_in_0005.png | ground_y=234 | move_dy=2
nap_in_0006.png | ground_y=234 | move_dy=2
nap_in_0007.png | ground_y=234 | move_dy=2
nap_in_0008.png | ground_y=234 | move_dy=2
nap_in_0009.png | ground_y=234 | move_dy=2
nap_in_0010.png | ground_y=234 | move_dy=2
nap_in_0011.png | ground_y=234 | move_dy=2
nap_in_0012.png | ground_y=234 | move_dy=2
nap_in_0013.png | ground_y=234 | move_dy=2
nap_in_0014.png | ground_y=234 | move_dy=2
nap_in_0015.png | ground_y=234 | move_dy=2
nap_in_0016.png | ground_y=234 | move_dy=2
nap_in_0017.png | ground_y=234 | move_dy=2
nap_in_0018.png | ground_y=234 | move_dy=2
nap_in_0019.png | ground_y=234 | move_dy=2
nap_in_0020.png | ground_y=234 | move_dy=2
nap_in_0021.png | ground_y=234 | move_dy=2
nap_in_0022.png | ground_y=234 | move_dy=2
nap_in_0023.png | ground_y=234 | move_dy=2
nap_in_0024.png | ground_y=234 | move_dy=2
nap_in_0025.png | ground_y=234 | move_dy=2
nap_in_0026.png | ground_y=234 | move_dy=2
nap_in_0027.png | ground_y=234 | move_dy=2
nap_in_0028.png | ground_y=234 | move_dy=2
nap_in_0029.png | ground_y=234 | move_dy=2
nap_in_0030.png | ground_y=234 | move_dy=2
nap_in_0031.png | ground_y=234 | move_dy=2
nap_in_0032.png | ground_y=234 | move_dy=2
nap_in_0033.png | ground_y=234 | move_dy=2
nap_in_0034.png | ground_y=234 | move_dy=2
nap_in_0035.png | ground_y=234 | move_dy=2
nap_in_0036.png | ground_y=234 | move_dy=2
nap_in_0037.png | ground_y=234 | move_dy=2
nap_in_0038.png | ground_y=234 | move_dy=2
nap_in_0039.png | ground_y=234 | move_dy=2
nap_in_0040.png | ground_y=234 | move_dy=2
nap_in_0041.png | ground_y=234 | move_dy=2
nap_in_0042.png | ground_y=234 | move_dy=2
nap_in_0043.png | ground_y=234 | move_dy=2
nap_in_0044.png | ground_y=234 | move_dy=2
